"parent_name","parent_id","subba_name","subba_id","subba_alias"
"New York Independent System Operator","NYIS","Long Island","ZONK","NYIS: (ZONK) Long Island"
"PJM Interconnection, LLC","PJM","Allegheny Power zone","AP","PJM: (AP) Allegheny Power zone"
"PJM Interconnection, LLC","PJM","American Transmission Systems, Inc. zone","ATSI","PJM: (ATSI) American Transmission Systems, Inc. zone"
"Public Service Company of New Mexico","PNM","Freeport","Frep","PNM: (Frep) Freeport"
"Southwest Power Pool","SWPP","Empire District Electric Company","EDE","SWPP: (EDE) Empire District Electric Company"
"Southwest Power Pool","SWPP","Grand River Dam Authority","GRDA","SWPP: (GRDA) Grand River Dam Authority"
"Southwest Power Pool","SWPP","KCP&L Greater Missouri Operations","MPS","SWPP: (MPS) KCP&L Greater Missouri Operations"
"ISO New England","ISNE","Vermont","4003","ISNE: (4003) Vermont"
"ISO New England","ISNE","Rhode Island","4005","ISNE: (4005) Rhode Island"
"ISO New England","ISNE","Southeast Mass.","4006","ISNE: (4006) Southeast Mass."
"ISO New England","ISNE","Western/Central Mass.","4007","ISNE: (4007) Western/Central Mass."
"Midcontinent Independent System Operator, Inc.","MISO","Zone 4","4","MISO: (0004) Zone 4"
"Midcontinent Independent System Operator, Inc.","MISO","Zones 3 and 5","35","MISO: (0035) Zones 3 and 5"
"New York Independent System Operator","NYIS","Central","ZONC","NYIS: (ZONC) Central"
"New York Independent System Operator","NYIS","Millwood","ZONH","NYIS: (ZONH) Millwood"
"PJM Interconnection, LLC","PJM","Pennsylvania Power & Light zone","PL","PJM: (PL) Pennsylvania Power & Light zone"
"Public Service Company of New Mexico","PNM","Jicarilla Apache Nation","Jica","PNM: (Jica) Jicarilla Apache Nation"
"Public Service Company of New Mexico","PNM","Kit Carson Electric Cooperative","KCEC","PNM: (KCEC) Kit Carson Electric Cooperative"
"Southwest Power Pool","SWPP","AEPW American Electric Power West","CSWS","SWPP: (CSWS) AEPW American Electric Power West"
"ISO New England","ISNE","Northeast Mass.","4008","ISNE: (4008) Northeast Mass."
"California Independent System Operator","CISO","Pacific Gas and Electric","PGAE","CISO: (PGAE) Pacific Gas and Electric"
"New York Independent System Operator","NYIS","North","ZOND","NYIS: (ZOND) North"
"New York Independent System Operator","NYIS","Capital","ZONF","NYIS: (ZONF) Capital"
"PJM Interconnection, LLC","PJM","Dayton Power & Light zone","DAY","PJM: (DAY) Dayton Power & Light zone"
"PJM Interconnection, LLC","PJM","Delmarva Power & Light zone","DPL","PJM: (DPL) Delmarva Power & Light zone"
"PJM Interconnection, LLC","PJM","Public Service Electric & Gas zone","PS","PJM: (PS) Public Service Electric & Gas zone"
"Public Service Company of New Mexico","PNM","PNM System Firm Load","PNM","PNM: (PNM) PNM System Firm Load"
"Southwest Power Pool","SWPP","Oklahoma Gas and Electric Co.","OKGE","SWPP: (OKGE) Oklahoma Gas and Electric Co."
"Southwest Power Pool","SWPP","City of Springfield","SPRM","SWPP: (SPRM) City of Springfield"
"Southwest Power Pool","SWPP","Western Farmers Electric Cooperative","WFEC","SWPP: (WFEC) Western Farmers Electric Cooperative"
"Electric Reliability Council of Texas, Inc.","ERCO","East","EAST","ERCO: (EAST) East"
"California Independent System Operator","CISO","Southern California Edison","SCE","CISO: (SCE) Southern California Edison"
"Midcontinent Independent System Operator, Inc.","MISO","Zone 6","6","MISO: (0006) Zone 6"
"New York Independent System Operator","NYIS","Mohawk Valley","ZONE","NYIS: (ZONE) Mohawk Valley"
"New York Independent System Operator","NYIS","New York City","ZONJ","NYIS: (ZONJ) New York City"
"PJM Interconnection, LLC","PJM","Atlantic Electric zone","AE","PJM: (AE) Atlantic Electric zone"
"PJM Interconnection, LLC","PJM","Commonwealth Edison zone","CE","PJM: (CE) Commonwealth Edison zone"
"PJM Interconnection, LLC","PJM","Dominion Virginia Power zone","DOM","PJM: (DOM) Dominion Virginia Power zone"
"PJM Interconnection, LLC","PJM","PECO Energy zone","PE","PJM: (PE) PECO Energy zone"
"PJM Interconnection, LLC","PJM","Pennsylvania Electric zone","PN","PJM: (PN) Pennsylvania Electric zone"
"Public Service Company of New Mexico","PNM","Tri-State Generation and Transmission","TSGT","PNM: (TSGT) Tri-State Generation and Transmission"
"Southwest Power Pool","SWPP","Sunflower Electric","SECI","SWPP: (SECI) Sunflower Electric"
"ISO New England","ISNE","Maine","4001","ISNE: (4001) Maine"
"Public Service Company of New Mexico","PNM","City of Gallup","CYGA","PNM: (CYGA) City of Gallup"
"California Independent System Operator","CISO","San Diego Gas and Electric","SDGE","CISO: (SDGE) San Diego Gas and Electric"
"California Independent System Operator","CISO","Valley Electric Association","VEA","CISO: (VEA) Valley Electric Association"
"New York Independent System Operator","NYIS","West","ZONA","NYIS: (ZONA) West"
